City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
10,Touros,BR,79.48,light rain,-5.1989,-35.4608,INN NEW HORIZON
18,San Carlos Del Zulia,VE,78.3,few clouds,9.0,-71.9135,Hotel El Manantial
23,Mahebourg,MU,78.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Quatre Cocos,MU,78.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
38,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
41,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
43,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Muzaffarnagar,IN,78.8,clear sky,29.4667,77.6833,Hotel Green Apple
56,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
60,Miranpur,IN,79.02,clear sky,29.3,77.9333,Bhartiya Hotel
61,Banikoara,BJ,81.81,scattered clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
65,Sanghar,PK,85.35,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
66,Antalaha,MG,75.36,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
72,Sambava,MG,76.91,overcast clouds,-14.2667,50.1667,Melrose
74,Murliganj,IN,85.98,clear sky,25.9,86.9833,Hotel Vijay palace
79,Sabya,SA,80.22,clear sky,17.1495,42.6254,Aseel Hotel Apartment
86,Porto Novo,BJ,80.73,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
89,Camocim,BR,76.15,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
96,Kavaratti,IN,81.73,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
97,Arlit,NE,75.85,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
98,Sokoni,TZ,82.47,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
104,Lambarene,GA,76.06,overcast clouds,-0.7001,10.2406,Le Refuge
109,Ratangarh,IN,83.55,clear sky,28.0833,74.6,Hotel Shri Laxmi Palace
120,Arraial Do Cabo,BR,76.8,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
128,Hithadhoo,MV,83.53,broken clouds,-0.6,73.0833,Scoop Guest House
129,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
135,Bodden Town,KY,80.6,scattered clouds,19.2833,-81.25,Will T Place
143,Luanda,AO,79.18,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
149,Salinopolis,BR,77.36,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
151,Sao Joao Da Barra,BR,78.15,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
152,Saint George,US,76.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
161,Manaure,CO,78.98,broken clouds,11.7751,-72.4445,Hotel Palaaima
162,Carnarvon,AU,84.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
164,Humberto De Campos,BR,75.58,moderate rain,-2.5983,-43.4611,Pousada do Cabeça
170,Bengkulu,ID,84.69,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
171,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
176,Sao Jose Da Coroa Grande,BR,77.31,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
179,Mormugao,IN,81.32,broken clouds,15.4,73.8,Coconut Creek Resort
183,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
186,Meulaboh,ID,83.48,scattered clouds,4.1363,96.1285,Kost Pria
191,Keffi,NG,77.54,few clouds,8.8486,7.8736,Imam Family
196,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
197,Port-Gentil,GA,81.63,overcast clouds,-0.7193,8.7815,Fengshui Residence
200,Ormara,PK,80.1,clear sky,25.2088,64.6357,Kenara Colony house for Rent
205,Nizwa,OM,76.15,few clouds,22.9333,57.5333,Orient Apartments
207,Hobyo,SO,79.84,moderate rain,5.3505,48.5268,Iftin hotel hobyo
215,Lucea,JM,76.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
224,Nisia Floresta,BR,76.01,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
226,Bonthe,SL,76.84,few clouds,7.5264,-12.505,Bonthe Holiday Village
228,Tonj,SS,75.58,clear sky,7.2737,28.6822,Lakan Hotel
229,Dhidhdhoo,MV,80.92,clear sky,6.8833,73.1,Dhidhoo beach
231,Idah,NG,79.68,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
241,Sohbatpur,PK,86.02,clear sky,28.5202,68.5434,Allu Hotel
242,Thiruvananthapuram,IN,87.78,haze,8.4833,76.9167,Hotel Residency Tower
249,Victoria,HK,84.25,broken clouds,22.2855,114.1577,Mini Hotel Central
260,Dingle,PH,89.28,few clouds,10.9995,122.6711,SEGAYA PROPERTY
264,Muscat,OM,75.22,clear sky,23.6139,58.5922,Mutrah Hotel
273,Bembereke,BJ,77.83,broken clouds,10.2283,2.6634,Hotel Bio Guera
275,Funadhoo,MV,81.09,clear sky,6.15,73.2667,Dhaffalhu Tourist Lodge
278,Ambagarh Chauki,IN,89.49,overcast clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
279,Hambantota,LK,81.66,broken clouds,6.1241,81.1185,Bungalow 63
281,Zaraza,VE,77.22,overcast clouds,9.3503,-65.3245,Hotel Zaraza
285,Keti Bandar,PK,79.43,clear sky,24.1447,67.4497,Haji laloo memon house
286,Galle,LK,80.94,scattered clouds,6.0367,80.217,Amangalla
288,Totness,SR,77.02,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
289,Inhambane,MZ,75.43,moderate rain,-23.865,35.3833,Oceano
294,Hajipur,IN,82.38,haze,25.6833,85.2167,Sunderwati Niketan
298,Lodwar,KE,78.22,moderate rain,3.1191,35.5973,Solmar Gracious Hotel
300,Conceicao Da Barra,BR,75.04,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
303,Maracaibo,VE,81.7,few clouds,10.6317,-71.6406,Motel Aladdin
304,Sandy Bay,AU,78.26,few clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
307,Muisne,EC,77.25,light rain,0.6,-80.0333,Quinta Samay
317,Pemba,MZ,77.76,scattered clouds,-12.974,40.5178,Guesthouse Samotina
330,Vigia,BR,75.7,overcast clouds,-0.8583,-48.1417,Hotel Bom Jesus
331,Pasni,PK,80.11,clear sky,25.2631,63.471,Kashmiri Hotal
332,Kapasan,ID,86.81,overcast clouds,-6.7773,111.3789,Perum Perhutani Kph Mantingan
333,Saint-Pierre,RE,77.92,clear sky,-21.3393,55.4781,Lindsey Hôtel
335,Cockburn Town,TC,78.08,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
337,Anloga,GH,82.27,few clouds,5.7947,0.8973,Pin Drop Hotel
346,Mangan,IN,75.45,clear sky,27.5167,88.5333,Hotel Mout View
352,Sur,OM,82.87,clear sky,22.5667,59.5289,Sur Plaza Hotel
356,Kasaragod,IN,83.62,broken clouds,12.5,75.0,Thalathoor Heritage
365,Yarada,IN,86.32,haze,17.65,83.2667,Yarada Jungle Beach Resorts
367,Iralaya,HN,78.21,broken clouds,15.0,-83.2333,Iglesia morava renovada
376,Chabahar,IR,79.5,clear sky,25.2919,60.643,هتل گدروشیا
377,Itarema,BR,76.57,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
381,Dedougou,BF,81.36,light rain,12.4667,-3.4667,Hôtel Bon Séjour
391,Geraldton,AU,77.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
393,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
394,Le Port,RE,78.26,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
395,Sinnamary,GF,77.2,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
398,Banda Aceh,ID,82.89,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
408,Ghatsila,IN,82.85,scattered clouds,22.6,86.4833,Suhasita Resort
411,Mattru,SL,76.68,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
417,Madras,IN,85.98,mist,13.0878,80.2785,"Taj Connemara, Chennai"
419,Culebra,PR,78.84,clear sky,18.303,-65.301,Palmetto Guesthouse
421,Axim,GH,79.95,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
428,Bom Jesus,BR,79.14,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
433,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
434,Trincomalee,LK,80.89,clear sky,8.5711,81.2335,Welcombe Hotel
443,Soyo,AO,75.96,light rain,-6.1349,12.3689,Hotel Mpampa
445,Yenagoa,NG,77.16,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
450,Jacqueville,CI,80.2,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
451,Trairi,BR,75.25,broken clouds,-3.2778,-39.2689,janelas do mar
452,Mayumba,GA,78.55,light rain,-3.432,10.6554,LIKWALE LODGE
457,Iracoubo,GF,77.16,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
474,Morondava,MG,76.96,clear sky,-20.2833,44.2833,La Case Bambou
475,La Asuncion,VE,76.5,few clouds,11.0333,-63.8628,Colinas de Matasiete
478,Belmonte,BR,76.68,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
487,Tahoua,NE,76.12,clear sky,14.8888,5.2692,Bungalows Guesthouse
488,Bafoulabe,ML,84.99,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
493,Wanlaweyn,SO,79.95,few clouds,2.6185,44.8938,GAASHAAN HOME
495,Bambari,CF,76.1,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
497,Nicoya,CR,78.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
498,Olinda,BR,78.53,light rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
500,Chhabra,IN,83.79,clear sky,24.6667,76.8333,"मालव समाज धर्मशाला, छबड़ा ।"
501,Matara,LK,81.95,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
504,Gafargaon,BD,84.47,overcast clouds,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
509,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
523,Dori,BF,82.81,scattered clouds,14.0354,-0.0345,Hôtel Liptako
528,Floresta,BR,75.92,overcast clouds,-8.6011,-38.5686,Hotel Floresta
529,Marawi,PH,80.53,broken clouds,7.9986,124.2928,Derogongan Residence
535,Yendi,GH,85.03,broken clouds,9.4427,-0.0099,Eyarro Lodge
539,Kedougou,SN,86.58,clear sky,12.5579,-12.1743,Relais de Kédougou
541,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
545,Cape Coast,GH,80.38,broken clouds,5.1053,-1.2466,Samrit Hotel
553,Timbiqui,CO,75.15,overcast clouds,2.7717,-77.6654,Hotel Sharey
559,Kismayo,SO,80.73,clear sky,-0.3582,42.5454,Agan-Hotel
571,Rani,IN,84.27,clear sky,25.3503,73.3089,Bhawna Engineering Works
573,Curaca,BR,79.86,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
575,Takoradi,GH,80.11,broken clouds,4.8845,-1.7554,Raybow International Hotel
592,Dabhol,IN,81.68,broken clouds,17.6,73.1667,Ashwamedh Resort
601,Olpad,IN,78.78,scattered clouds,21.3333,72.75,IDTCATERING
603,Kolokani,ML,82.71,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
613,Abonnema,NG,78.62,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
619,Farafangana,MG,75.67,scattered clouds,-22.8167,47.8333,Miarina
626,San Luis De Palenque,CO,83.3,overcast clouds,5.4214,-71.7317,Hotel Palenque Los Cubarros
629,Lafia,NG,78.57,scattered clouds,8.4833,8.5167,Low Cost Housing Estate
635,Parati,BR,78.08,broken clouds,-23.2178,-44.7131,Che Lagarto Paraty
637,Bandipur,NP,81.77,clear sky,27.9333,84.4167,Bandipur Guest House
638,Sambhar,IN,89.47,clear sky,26.9167,75.2,Sambhar Heritage Resort
648,Bubaque,GW,75.6,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
659,Mamallapuram,IN,86.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
661,Epe,NG,78.89,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
663,Kathu,TH,87.62,few clouds,7.9178,98.3332,Novotel Phuket Resort
670,Fundao,BR,78.33,broken clouds,-19.9341,-40.4047,City Hotel
673,Ilhabela,BR,75.92,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
678,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
681,Cananeia,BR,75.43,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
685,Barwala,IN,87.1,clear sky,29.3833,75.9167,Shri mehndi pur bala ji highway fules
687,Kudahuvadhoo,MV,81.77,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
706,Dwarka,IN,81.91,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
711,Aneho,TG,84.4,scattered clouds,6.2333,1.6,Hotel La Linette
714,Gambela,ET,79.2,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
726,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
729,Ambanja,MG,78.73,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
